A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
97.36,0.189,0.323,0.306,0.276,0.368,0.312,0.258,0.318,0.646,0.329,0.103,0.172,0.189,0.189,0.137,0.134,0.136,0.141,0.132,0.107,Govardhan
97.33,0.188,0.322,0.304,0.274,0.365,0.308,0.258,0.318,0.639,0.323,0.1,0.172,0.188,0.188,0.135,0.134,0.136,0.141,0.132,0.107,Govardhan
97.24,0.186,0.318,0.302,0.274,0.362,0.306,0.256,0.317,0.635,0.32,0.099,0.169,0.185,0.186,0.132,0.133,0.135,0.138,0.131,0.107,Govardhan
97.16,0.184,0.314,0.299,0.274,0.361,0.306,0.254,0.312,0.624,0.313,0.101,0.165,0.18,0.184,0.132,0.13,0.131,0.135,0.128,0.105,Govardhan
97.37,0.183,0.325,0.309,0.281,0.373,0.316,0.264,0.313,0.623,0.311,0.104,0.166,0.183,0.183,0.138,0.136,0.137,0.141,0.134,0.109,Govardhan
97.37,0.187,0.324,0.305,0.279,0.371,0.314,0.261,0.317,0.638,0.323,0.103,0.169,0.184,0.187,0.138,0.135,0.137,0.14,0.131,0.107,Govardhan
97.37,0.183,0.316,0.301,0.273,0.363,0.306,0.255,0.308,0.624,0.315,0.103,0.166,0.182,0.183,0.133,0.133,0.136,0.138,0.131,0.107,Govardhan
97.3,0.184,0.32,0.303,0.276,0.367,0.31,0.256,0.313,0.642,0.332,0.106,0.165,0.182,0.184,0.136,0.133,0.136,0.139,0.131,0.106,Govardhan
97.53,0.187,0.322,0.304,0.276,0.365,0.311,0.256,0.314,0.632,0.319,0.104,0.169,0.185,0.187,0.137,0.134,0.137,0.141,0.134,0.109,Govardhan
97.47,0.189,0.324,0.306,0.277,0.368,0.312,0.259,0.318,0.641,0.323,0.105,0.173,0.19,0.189,0.137,0.134,0.137,0.141,0.135,0.11,Govardhan
97.34,0.183,0.32,0.303,0.274,0.366,0.311,0.26,0.317,0.639,0.325,0.102,0.168,0.184,0.183,0.137,0.134,0.137,0.141,0.132,0.108,Govardhan
97.41,0.188,0.322,0.305,0.272,0.366,0.31,0.26,0.313,0.632,0.32,0.106,0.171,0.188,0.188,0.137,0.134,0.137,0.141,0.135,0.11,Govardhan
97.43,0.188,0.322,0.305,0.272,0.366,0.309,0.26,0.313,0.629,0.318,0.104,0.17,0.185,0.188,0.137,0.136,0.137,0.141,0.135,0.11,Govardhan
97.39,0.188,0.323,0.307,0.274,0.368,0.313,0.257,0.312,0.635,0.324,0.101,0.17,0.186,0.188,0.138,0.138,0.138,0.143,0.135,0.109,Govardhan
97.43,0.188,0.323,0.306,0.276,0.367,0.311,0.259,0.315,0.634,0.32,0.104,0.172,0.188,0.188,0.138,0.137,0.137,0.141,0.135,0.11,Govardhan
97.21,0.188,0.317,0.302,0.271,0.362,0.307,0.252,0.318,0.645,0.329,0.103,0.171,0.187,0.188,0.135,0.133,0.135,0.139,0.131,0.107,Govardhan
97.34,0.188,0.322,0.304,0.271,0.367,0.309,0.258,0.317,0.642,0.328,0.103,0.169,0.186,0.188,0.136,0.134,0.136,0.141,0.133,0.108,Govardhan
97.17,0.187,0.321,0.304,0.275,0.367,0.309,0.258,0.312,0.632,0.323,0.103,0.165,0.182,0.187,0.137,0.135,0.137,0.141,0.133,0.108,Govardhan
97.23,0.186,0.323,0.306,0.277,0.371,0.312,0.263,0.31,0.62,0.311,0.105,0.165,0.182,0.186,0.138,0.137,0.137,0.141,0.134,0.109,Govardhan
97.32,0.187,0.326,0.311,0.28,0.373,0.316,0.264,0.316,0.63,0.315,0.107,0.167,0.184,0.187,0.138,0.138,0.138,0.144,0.135,0.111,Govardhan
97.31,0.191,0.327,0.313,0.28,0.376,0.317,0.264,0.32,0.652,0.334,0.104,0.17,0.187,0.191,0.138,0.138,0.14,0.144,0.136,0.111,Govardhan
97.23,0.192,0.327,0.311,0.278,0.375,0.317,0.262,0.322,0.652,0.331,0.104,0.171,0.188,0.192,0.138,0.138,0.138,0.143,0.135,0.111,Govardhan
97.1,0.192,0.321,0.304,0.277,0.368,0.311,0.254,0.321,0.679,0.36,0.105,0.168,0.185,0.192,0.136,0.133,0.136,0.139,0.13,0.106,Govardhan
97.15,0.188,0.319,0.304,0.272,0.367,0.31,0.258,0.315,0.648,0.335,0.103,0.166,0.184,0.188,0.136,0.133,0.135,0.139,0.131,0.107,Govardhan
97.28,0.188,0.322,0.306,0.272,0.371,0.312,0.26,0.316,0.643,0.327,0.104,0.17,0.187,0.188,0.138,0.135,0.137,0.141,0.133,0.109,Govardhan
97.32,0.188,0.322,0.305,0.271,0.368,0.312,0.258,0.316,0.64,0.324,0.104,0.171,0.188,0.188,0.137,0.134,0.136,0.14,0.133,0.109,Govardhan
97.3,0.188,0.322,0.305,0.272,0.367,0.312,0.26,0.31,0.622,0.315,0.104,0.169,0.186,0.188,0.137,0.134,0.136,0.141,0.133,0.108,Govardhan
97.36,0.188,0.322,0.306,0.272,0.368,0.312,0.259,0.312,0.633,0.322,0.105,0.17,0.186,0.188,0.137,0.135,0.137,0.141,0.135,0.11,Govardhan
97.23,0.188,0.319,0.301,0.269,0.361,0.306,0.254,0.307,0.621,0.316,0.102,0.17,0.186,0.188,0.134,0.133,0.135,0.14,0.133,0.107,Govardhan
97.36,0.187,0.323,0.306,0.272,0.369,0.312,0.257,0.311,0.626,0.319,0.103,0.169,0.183,0.187,0.138,0.136,0.137,0.141,0.134,0.109,Govardhan
97.3,0.188,0.322,0.306,0.272,0.367,0.311,0.257,0.313,0.638,0.325,0.103,0.169,0.186,0.188,0.137,0.134,0.137,0.141,0.133,0.109,Govardhan
97.24,0.186,0.319,0.301,0.269,0.364,0.306,0.255,0.312,0.637,0.327,0.102,0.166,0.182,0.186,0.134,0.133,0.135,0.141,0.132,0.108,Govardhan
97.22,0.185,0.322,0.304,0.271,0.366,0.311,0.257,0.312,0.632,0.32,0.104,0.167,0.183,0.185,0.137,0.134,0.136,0.141,0.133,0.107,Govardhan
97.33,0.188,0.322,0.305,0.271,0.366,0.311,0.261,0.313,0.633,0.322,0.105,0.17,0.187,0.188,0.137,0.134,0.137,0.141,0.135,0.109,Govardhan
97.31,0.188,0.322,0.305,0.271,0.368,0.311,0.257,0.315,0.645,0.332,0.104,0.17,0.187,0.188,0.137,0.134,0.137,0.141,0.134,0.109,Govardhan
97.28,0.188,0.321,0.304,0.269,0.366,0.309,0.261,0.311,0.634,0.325,0.104,0.169,0.185,0.188,0.137,0.134,0.136,0.141,0.133,0.109,Govardhan
97.24,0.188,0.318,0.301,0.269,0.363,0.307,0.259,0.312,0.632,0.324,0.104,0.167,0.185,0.188,0.135,0.134,0.136,0.14,0.132,0.108,Govardhan
97.34,0.188,0.323,0.306,0.271,0.367,0.312,0.259,0.311,0.634,0.326,0.104,0.169,0.183,0.188,0.137,0.134,0.137,0.141,0.135,0.109,Govardhan
97.38,0.188,0.326,0.308,0.272,0.371,0.313,0.26,0.313,0.633,0.323,0.106,0.17,0.186,0.188,0.138,0.135,0.137,0.141,0.135,0.111,Govardhan
97.34,0.187,0.323,0.306,0.272,0.368,0.312,0.26,0.316,0.639,0.323,0.107,0.17,0.187,0.187,0.137,0.134,0.137,0.141,0.135,0.11,Govardhan
97.32,0.188,0.322,0.305,0.272,0.367,0.311,0.261,0.316,0.638,0.326,0.105,0.171,0.188,0.188,0.137,0.134,0.137,0.141,0.135,0.111,Govardhan
97.37,0.187,0.326,0.308,0.276,0.372,0.314,0.261,0.316,0.645,0.332,0.106,0.169,0.185,0.187,0.138,0.137,0.137,0.142,0.135,0.111,Govardhan
97.25,0.188,0.317,0.301,0.27,0.362,0.307,0.253,0.314,0.641,0.329,0.104,0.168,0.186,0.188,0.133,0.133,0.135,0.139,0.131,0.107,Govardhan
97.39,0.187,0.321,0.305,0.271,0.366,0.308,0.258,0.315,0.642,0.33,0.104,0.167,0.183,0.187,0.137,0.134,0.137,0.141,0.134,0.109,Govardhan
97.33,0.187,0.322,0.305,0.273,0.367,0.309,0.256,0.314,0.64,0.327,0.103,0.168,0.185,0.187,0.137,0.135,0.137,0.141,0.134,0.109,Govardhan
97.28,0.189,0.322,0.303,0.27,0.365,0.308,0.257,0.318,0.65,0.334,0.105,0.17,0.187,0.189,0.137,0.134,0.136,0.14,0.132,0.109,Govardhan
97.3,0.19,0.322,0.305,0.277,0.365,0.309,0.259,0.321,0.66,0.339,0.107,0.17,0.187,0.19,0.136,0.133,0.136,0.14,0.131,0.107,Govardhan
97.34,0.189,0.322,0.306,0.272,0.367,0.31,0.259,0.318,0.649,0.333,0.104,0.172,0.187,0.189,0.137,0.135,0.137,0.141,0.134,0.109,Govardhan
97.31,0.188,0.32,0.304,0.27,0.364,0.308,0.26,0.315,0.639,0.327,0.104,0.171,0.188,0.188,0.136,0.134,0.136,0.141,0.134,0.109,Govardhan
97.39,0.187,0.324,0.308,0.273,0.368,0.312,0.262,0.318,0.644,0.328,0.106,0.169,0.186,0.187,0.137,0.135,0.137,0.141,0.135,0.111,Govardhan
97.42,0.19,0.326,0.308,0.275,0.371,0.313,0.261,0.319,0.649,0.331,0.106,0.172,0.187,0.19,0.138,0.138,0.138,0.143,0.137,0.111,Govardhan
97.43,0.188,0.324,0.307,0.274,0.368,0.312,0.26,0.318,0.652,0.337,0.107,0.17,0.187,0.188,0.138,0.138,0.138,0.143,0.136,0.111,Govardhan
97.36,0.189,0.326,0.307,0.275,0.37,0.313,0.261,0.318,0.656,0.341,0.107,0.171,0.188,0.189,0.138,0.137,0.137,0.141,0.135,0.11,Govardhan
97.25,0.188,0.318,0.303,0.271,0.364,0.308,0.257,0.313,0.645,0.335,0.105,0.171,0.186,0.188,0.136,0.134,0.136,0.14,0.132,0.109,Govardhan
97.28,0.188,0.322,0.305,0.271,0.367,0.311,0.256,0.313,0.655,0.344,0.105,0.171,0.187,0.188,0.137,0.134,0.137,0.141,0.133,0.109,Govardhan
97.36,0.188,0.324,0.307,0.275,0.369,0.313,0.258,0.315,0.652,0.341,0.105,0.172,0.187,0.188,0.138,0.137,0.138,0.141,0.135,0.111,Govardhan
97.32,0.188,0.321,0.303,0.271,0.366,0.311,0.259,0.311,0.639,0.329,0.105,0.171,0.186,0.188,0.136,0.134,0.136,0.14,0.133,0.108,Govardhan
97.34,0.188,0.322,0.307,0.274,0.368,0.312,0.259,0.313,0.647,0.334,0.105,0.171,0.187,0.188,0.137,0.134,0.137,0.141,0.134,0.109,Govardhan
97.34,0.188,0.323,0.306,0.273,0.368,0.312,0.26,0.316,0.652,0.338,0.108,0.17,0.187,0.188,0.138,0.135,0.137,0.141,0.135,0.109,Govardhan
97.39,0.188,0.323,0.307,0.273,0.368,0.312,0.258,0.316,0.652,0.338,0.107,0.172,0.187,0.188,0.138,0.135,0.137,0.141,0.135,0.11,Govardhan
97.33,0.188,0.322,0.305,0.274,0.368,0.312,0.258,0.32,0.658,0.342,0.106,0.171,0.187,0.188,0.137,0.134,0.137,0.141,0.133,0.108,Govardhan
97.27,0.188,0.321,0.304,0.273,0.366,0.309,0.259,0.318,0.641,0.326,0.106,0.171,0.187,0.188,0.136,0.134,0.136,0.14,0.132,0.107,Govardhan
97.07,0.188,0.32,0.303,0.275,0.365,0.309,0.253,0.315,0.635,0.322,0.102,0.167,0.185,0.188,0.134,0.133,0.134,0.136,0.13,0.105,Govardhan
97.28,0.189,0.325,0.309,0.278,0.373,0.316,0.261,0.315,0.639,0.325,0.105,0.167,0.184,0.189,0.138,0.137,0.137,0.141,0.134,0.108,Govardhan
97.33,0.189,0.331,0.314,0.283,0.379,0.32,0.264,0.318,0.649,0.331,0.108,0.166,0.183,0.189,0.139,0.138,0.139,0.142,0.135,0.109,Govardhan
97.34,0.189,0.326,0.308,0.277,0.37,0.314,0.262,0.318,0.647,0.331,0.107,0.17,0.188,0.189,0.138,0.136,0.137,0.141,0.135,0.109,Govardhan
97.4,0.187,0.322,0.306,0.273,0.368,0.312,0.261,0.318,0.637,0.32,0.107,0.172,0.188,0.187,0.137,0.135,0.137,0.141,0.135,0.111,Govardhan
97.41,0.189,0.325,0.307,0.274,0.368,0.312,0.258,0.318,0.645,0.331,0.107,0.172,0.188,0.189,0.137,0.136,0.137,0.142,0.135,0.111,Govardhan
97.3,0.187,0.321,0.304,0.272,0.367,0.308,0.258,0.318,0.649,0.334,0.103,0.169,0.186,0.187,0.137,0.134,0.136,0.14,0.132,0.108,Govardhan
97.39,0.189,0.326,0.308,0.274,0.372,0.313,0.259,0.322,0.661,0.34,0.107,0.171,0.186,0.189,0.138,0.136,0.137,0.141,0.135,0.11,Govardhan
97.43,0.187,0.322,0.306,0.274,0.367,0.312,0.258,0.318,0.646,0.329,0.105,0.171,0.187,0.187,0.136,0.134,0.137,0.141,0.135,0.111,Govardhan
97.46,0.187,0.322,0.306,0.274,0.367,0.31,0.26,0.317,0.633,0.32,0.104,0.168,0.186,0.187,0.138,0.135,0.137,0.141,0.134,0.109,Govardhan
97.51,0.188,0.326,0.31,0.277,0.37,0.313,0.261,0.318,0.647,0.331,0.105,0.169,0.185,0.188,0.138,0.137,0.137,0.142,0.135,0.111,Govardhan
97.42,0.19,0.322,0.304,0.272,0.366,0.308,0.258,0.318,0.651,0.334,0.105,0.172,0.188,0.19,0.137,0.134,0.136,0.141,0.135,0.109,Govardhan
97.5,0.187,0.322,0.306,0.276,0.368,0.312,0.258,0.318,0.653,0.336,0.105,0.169,0.186,0.187,0.137,0.134,0.137,0.141,0.135,0.109,Govardhan
97.42,0.187,0.322,0.304,0.272,0.366,0.308,0.255,0.317,0.65,0.336,0.103,0.169,0.185,0.187,0.135,0.133,0.136,0.14,0.132,0.108,Govardhan
97.4,0.188,0.319,0.301,0.269,0.363,0.307,0.258,0.312,0.635,0.323,0.104,0.169,0.186,0.188,0.136,0.134,0.136,0.14,0.132,0.108,Govardhan
97.49,0.188,0.323,0.306,0.272,0.367,0.311,0.258,0.319,0.648,0.331,0.105,0.17,0.187,0.188,0.137,0.135,0.137,0.141,0.135,0.111,Govardhan
97.3,0.187,0.318,0.303,0.272,0.364,0.308,0.253,0.316,0.65,0.336,0.104,0.166,0.182,0.187,0.134,0.133,0.135,0.139,0.131,0.107,Govardhan
97.3,0.188,0.32,0.304,0.271,0.365,0.308,0.255,0.32,0.656,0.337,0.105,0.167,0.185,0.188,0.136,0.133,0.136,0.139,0.131,0.107,Govardhan
97.35,0.188,0.322,0.305,0.272,0.368,0.312,0.26,0.316,0.643,0.329,0.103,0.169,0.185,0.188,0.137,0.135,0.137,0.141,0.133,0.109,Govardhan
97.43,0.189,0.325,0.309,0.278,0.373,0.314,0.259,0.314,0.639,0.327,0.106,0.17,0.186,0.189,0.138,0.138,0.137,0.142,0.135,0.109,Govardhan
97.36,0.19,0.323,0.308,0.277,0.371,0.314,0.258,0.321,0.651,0.333,0.105,0.172,0.189,0.19,0.138,0.136,0.137,0.141,0.133,0.108,Govardhan
97.25,0.193,0.323,0.308,0.28,0.373,0.314,0.257,0.323,0.672,0.352,0.103,0.17,0.188,0.193,0.137,0.135,0.137,0.139,0.131,0.107,Govardhan
97.22,0.191,0.325,0.309,0.28,0.372,0.317,0.263,0.317,0.642,0.328,0.107,0.169,0.187,0.191,0.138,0.136,0.137,0.141,0.133,0.109,Govardhan
97.22,0.19,0.327,0.311,0.284,0.376,0.318,0.263,0.318,0.645,0.328,0.107,0.169,0.187,0.19,0.139,0.138,0.137,0.14,0.133,0.108,Govardhan
97.52,0.188,0.325,0.307,0.272,0.37,0.312,0.264,0.318,0.637,0.325,0.105,0.17,0.186,0.188,0.138,0.135,0.137,0.141,0.135,0.11,Govardhan
97.58,0.188,0.326,0.31,0.276,0.371,0.313,0.264,0.319,0.645,0.327,0.107,0.171,0.187,0.188,0.138,0.138,0.138,0.143,0.136,0.111,Govardhan
97.53,0.187,0.321,0.306,0.272,0.366,0.308,0.259,0.318,0.647,0.332,0.106,0.168,0.183,0.187,0.136,0.134,0.137,0.141,0.135,0.11,Govardhan
97.47,0.187,0.323,0.307,0.273,0.367,0.312,0.258,0.317,0.649,0.333,0.107,0.17,0.186,0.187,0.137,0.135,0.137,0.141,0.134,0.11,Govardhan
97.54,0.188,0.326,0.308,0.275,0.372,0.313,0.264,0.323,0.651,0.331,0.108,0.171,0.186,0.188,0.138,0.137,0.137,0.141,0.136,0.11,Govardhan
97.34,0.189,0.32,0.304,0.271,0.365,0.308,0.258,0.317,0.647,0.332,0.104,0.171,0.188,0.189,0.136,0.134,0.136,0.14,0.134,0.111,Govardhan
97.31,0.191,0.323,0.306,0.274,0.368,0.311,0.26,0.321,0.662,0.342,0.104,0.17,0.187,0.191,0.138,0.136,0.137,0.141,0.134,0.109,Govardhan
97.39,0.193,0.326,0.308,0.275,0.371,0.314,0.264,0.323,0.66,0.339,0.107,0.17,0.189,0.193,0.138,0.138,0.138,0.142,0.136,0.111,Govardhan
97.3,0.189,0.322,0.304,0.272,0.367,0.312,0.26,0.317,0.649,0.333,0.104,0.171,0.186,0.189,0.137,0.134,0.136,0.139,0.132,0.108,Govardhan
97.47,0.189,0.323,0.306,0.272,0.369,0.312,0.259,0.321,0.663,0.346,0.106,0.17,0.188,0.189,0.137,0.136,0.137,0.141,0.135,0.11,Govardhan
97.31,0.187,0.317,0.301,0.269,0.362,0.306,0.257,0.314,0.641,0.327,0.104,0.167,0.186,0.187,0.134,0.133,0.135,0.139,0.131,0.107,Govardhan
97.48,0.187,0.322,0.306,0.27,0.368,0.312,0.262,0.315,0.645,0.332,0.106,0.167,0.183,0.187,0.138,0.134,0.137,0.141,0.133,0.108,Govardhan
97.51,0.188,0.326,0.307,0.274,0.372,0.313,0.261,0.318,0.649,0.334,0.107,0.169,0.185,0.188,0.138,0.136,0.137,0.141,0.134,0.109,Govardhan
97.47,0.193,0.325,0.307,0.274,0.369,0.313,0.258,0.323,0.667,0.346,0.105,0.171,0.187,0.193,0.138,0.136,0.137,0.141,0.135,0.11,Govardhan
97.44,0.187,0.321,0.305,0.272,0.366,0.311,0.259,0.318,0.648,0.332,0.104,0.169,0.185,0.187,0.136,0.134,0.136,0.14,0.132,0.108,Govardhan
97.51,0.187,0.325,0.308,0.274,0.372,0.313,0.262,0.318,0.64,0.323,0.106,0.167,0.186,0.187,0.138,0.136,0.137,0.141,0.134,0.109,Govardhan
97.29,0.188,0.32,0.304,0.272,0.362,0.307,0.253,0.318,0.649,0.333,0.104,0.17,0.187,0.188,0.134,0.133,0.135,0.138,0.131,0.107,Govardhan
97.34,0.189,0.324,0.306,0.276,0.367,0.309,0.26,0.322,0.654,0.336,0.104,0.17,0.186,0.189,0.136,0.133,0.136,0.139,0.132,0.108,Govardhan
97.61,0.187,0.325,0.308,0.274,0.368,0.312,0.263,0.316,0.637,0.322,0.105,0.169,0.185,0.187,0.137,0.136,0.137,0.142,0.136,0.111,Govardhan
97.54,0.187,0.322,0.306,0.272,0.367,0.312,0.261,0.316,0.635,0.322,0.105,0.17,0.186,0.187,0.137,0.134,0.137,0.141,0.135,0.11,Govardhan
97.57,0.188,0.326,0.308,0.272,0.37,0.312,0.261,0.319,0.649,0.331,0.105,0.17,0.186,0.188,0.138,0.136,0.137,0.141,0.135,0.111,Govardhan
97.43,0.188,0.321,0.304,0.27,0.365,0.308,0.257,0.318,0.649,0.334,0.105,0.168,0.185,0.188,0.135,0.133,0.136,0.141,0.133,0.108,Govardhan
97.56,0.188,0.326,0.307,0.272,0.368,0.312,0.258,0.317,0.647,0.332,0.107,0.17,0.187,0.188,0.137,0.135,0.137,0.141,0.135,0.111,Govardhan
97.3,0.187,0.32,0.303,0.272,0.366,0.308,0.258,0.318,0.643,0.328,0.102,0.168,0.186,0.187,0.135,0.134,0.135,0.139,0.132,0.108,Govardhan
97.08,0.188,0.32,0.303,0.273,0.365,0.308,0.253,0.321,0.669,0.347,0.105,0.167,0.184,0.188,0.134,0.133,0.133,0.135,0.129,0.105,Govardhan
97.32,0.191,0.331,0.313,0.283,0.379,0.32,0.266,0.326,0.658,0.333,0.106,0.17,0.187,0.191,0.139,0.138,0.14,0.143,0.135,0.111,Govardhan
97.14,0.188,0.323,0.306,0.276,0.372,0.313,0.26,0.323,0.66,0.338,0.104,0.171,0.186,0.188,0.137,0.135,0.137,0.141,0.133,0.109,Govardhan
97.19,0.194,0.323,0.307,0.273,0.372,0.314,0.263,0.323,0.66,0.338,0.106,0.172,0.19,0.194,0.137,0.136,0.137,0.141,0.134,0.11,Govardhan
97.23,0.195,0.321,0.304,0.27,0.374,0.316,0.264,0.329,0.675,0.349,0.106,0.176,0.192,0.195,0.136,0.136,0.135,0.141,0.134,0.112,Govardhan
97.21,0.191,0.317,0.3,0.269,0.367,0.309,0.263,0.325,0.648,0.328,0.104,0.173,0.189,0.191,0.136,0.134,0.134,0.14,0.132,0.11,Govardhan
97.41,0.192,0.321,0.304,0.269,0.373,0.314,0.262,0.326,0.666,0.342,0.106,0.172,0.188,0.192,0.136,0.134,0.135,0.14,0.132,0.108,Govardhan
97.39,0.193,0.321,0.304,0.27,0.371,0.313,0.257,0.325,0.668,0.345,0.106,0.174,0.189,0.193,0.136,0.134,0.135,0.14,0.132,0.11,Govardhan
97.46,0.194,0.326,0.306,0.275,0.374,0.316,0.265,0.325,0.669,0.343,0.107,0.173,0.191,0.194,0.138,0.136,0.138,0.142,0.136,0.111,Govardhan
97.44,0.19,0.32,0.303,0.27,0.371,0.314,0.258,0.326,0.666,0.343,0.103,0.171,0.187,0.19,0.136,0.134,0.136,0.14,0.132,0.108,Govardhan
97.47,0.191,0.32,0.304,0.27,0.37,0.315,0.261,0.321,0.657,0.337,0.107,0.171,0.187,0.191,0.136,0.134,0.135,0.14,0.132,0.108,Govardhan
97.56,0.191,0.32,0.305,0.27,0.37,0.314,0.259,0.32,0.65,0.332,0.105,0.172,0.187,0.191,0.136,0.134,0.136,0.14,0.134,0.11,Govardhan
97.62,0.188,0.324,0.305,0.271,0.373,0.315,0.262,0.319,0.649,0.333,0.107,0.171,0.186,0.188,0.136,0.134,0.136,0.141,0.135,0.11,Govardhan
97.6,0.191,0.326,0.308,0.275,0.374,0.316,0.264,0.321,0.647,0.326,0.106,0.173,0.188,0.191,0.138,0.137,0.138,0.142,0.136,0.111,Govardhan
97.49,0.188,0.321,0.305,0.271,0.368,0.314,0.263,0.321,0.649,0.329,0.103,0.171,0.187,0.188,0.136,0.135,0.136,0.14,0.135,0.11,Govardhan
97.36,0.192,0.322,0.305,0.277,0.372,0.315,0.263,0.317,0.634,0.32,0.103,0.169,0.186,0.192,0.137,0.135,0.136,0.139,0.132,0.107,Govardhan
97.48,0.19,0.325,0.309,0.277,0.376,0.318,0.261,0.325,0.659,0.337,0.107,0.173,0.188,0.19,0.138,0.137,0.137,0.141,0.134,0.11,Govardhan
97.69,0.194,0.328,0.312,0.278,0.378,0.318,0.264,0.327,0.667,0.341,0.108,0.173,0.19,0.194,0.139,0.138,0.14,0.144,0.136,0.111,Govardhan
97.66,0.193,0.325,0.307,0.275,0.373,0.316,0.262,0.324,0.664,0.342,0.106,0.173,0.188,0.193,0.138,0.137,0.138,0.142,0.136,0.111,Govardhan
97.67,0.193,0.326,0.307,0.275,0.373,0.317,0.262,0.325,0.665,0.343,0.108,0.172,0.189,0.193,0.138,0.138,0.138,0.142,0.136,0.111,Govardhan
97.57,0.188,0.321,0.303,0.271,0.367,0.311,0.258,0.32,0.654,0.337,0.104,0.171,0.187,0.188,0.136,0.134,0.136,0.14,0.132,0.108,Govardhan
97.66,0.193,0.323,0.307,0.275,0.369,0.312,0.261,0.323,0.658,0.337,0.108,0.173,0.187,0.193,0.137,0.134,0.136,0.14,0.133,0.11,Govardhan
97.63,0.191,0.325,0.307,0.276,0.372,0.314,0.258,0.322,0.66,0.34,0.107,0.171,0.188,0.191,0.138,0.137,0.137,0.141,0.135,0.11,Govardhan
97.58,0.192,0.322,0.303,0.271,0.369,0.312,0.259,0.323,0.652,0.333,0.107,0.173,0.188,0.192,0.137,0.134,0.136,0.14,0.133,0.11,Govardhan
97.59,0.193,0.324,0.307,0.276,0.37,0.312,0.26,0.322,0.657,0.335,0.106,0.172,0.19,0.193,0.137,0.136,0.137,0.141,0.134,0.11,Govardhan
97.66,0.189,0.323,0.307,0.275,0.372,0.314,0.263,0.324,0.659,0.334,0.107,0.172,0.188,0.189,0.137,0.135,0.137,0.141,0.135,0.11,Govardhan
97.69,0.192,0.326,0.307,0.275,0.369,0.314,0.262,0.324,0.655,0.331,0.106,0.173,0.19,0.192,0.137,0.136,0.137,0.142,0.136,0.112,Govardhan
97.71,0.191,0.326,0.307,0.276,0.373,0.316,0.264,0.324,0.654,0.332,0.108,0.172,0.188,0.191,0.138,0.138,0.138,0.143,0.136,0.111,Govardhan
97.67,0.188,0.324,0.307,0.273,0.371,0.312,0.262,0.322,0.654,0.333,0.105,0.172,0.187,0.188,0.138,0.137,0.137,0.142,0.136,0.111,Govardhan
97.61,0.191,0.322,0.306,0.273,0.37,0.312,0.259,0.323,0.657,0.337,0.103,0.173,0.188,0.191,0.137,0.137,0.137,0.142,0.136,0.111,Govardhan
97.65,0.191,0.322,0.306,0.272,0.372,0.314,0.261,0.323,0.657,0.337,0.105,0.172,0.188,0.191,0.137,0.136,0.137,0.142,0.136,0.111,Govardhan
97.39,0.191,0.318,0.301,0.27,0.366,0.31,0.259,0.325,0.665,0.342,0.104,0.17,0.186,0.191,0.134,0.133,0.134,0.138,0.131,0.106,Govardhan
97.66,0.193,0.324,0.307,0.277,0.373,0.316,0.263,0.326,0.666,0.344,0.106,0.173,0.19,0.193,0.138,0.137,0.137,0.141,0.134,0.11,Govardhan
97.1,0.197,0.317,0.3,0.273,0.368,0.311,0.253,0.327,0.696,0.372,0.105,0.173,0.189,0.197,0.134,0.132,0.132,0.135,0.128,0.106,Govardhan
97.33,0.194,0.32,0.303,0.273,0.367,0.31,0.257,0.324,0.673,0.352,0.105,0.172,0.189,0.194,0.136,0.133,0.135,0.139,0.131,0.107,Govardhan
97.26,0.193,0.32,0.304,0.276,0.368,0.312,0.256,0.328,0.701,0.374,0.106,0.169,0.186,0.193,0.135,0.135,0.134,0.137,0.13,0.106,Govardhan
97.49,0.197,0.325,0.309,0.281,0.373,0.314,0.261,0.332,0.685,0.357,0.105,0.174,0.192,0.197,0.138,0.138,0.137,0.141,0.133,0.11,Govardhan
97.35,0.194,0.324,0.308,0.277,0.372,0.314,0.263,0.328,0.672,0.345,0.108,0.174,0.191,0.194,0.138,0.136,0.137,0.141,0.133,0.11,Govardhan
97.19,0.197,0.319,0.302,0.274,0.368,0.309,0.258,0.332,0.686,0.354,0.104,0.173,0.191,0.197,0.134,0.133,0.134,0.137,0.132,0.107,Govardhan
97.03,0.198,0.323,0.305,0.275,0.375,0.318,0.26,0.33,0.686,0.36,0.107,0.175,0.192,0.198,0.136,0.134,0.133,0.137,0.129,0.106,Govardhan
97.14,0.195,0.318,0.3,0.27,0.367,0.311,0.26,0.325,0.683,0.362,0.11,0.17,0.188,0.195,0.135,0.133,0.133,0.136,0.128,0.106,Govardhan
97.26,0.191,0.314,0.299,0.27,0.367,0.31,0.262,0.325,0.663,0.344,0.106,0.171,0.187,0.191,0.134,0.133,0.134,0.137,0.13,0.106,Govardhan
97.55,0.194,0.322,0.303,0.275,0.372,0.316,0.265,0.321,0.666,0.348,0.11,0.172,0.188,0.194,0.138,0.135,0.136,0.14,0.132,0.107,Govardhan
97.5,0.193,0.313,0.298,0.267,0.363,0.306,0.258,0.327,0.674,0.35,0.105,0.17,0.189,0.193,0.133,0.132,0.133,0.136,0.13,0.106,Govardhan
97.53,0.194,0.318,0.299,0.269,0.365,0.309,0.26,0.327,0.677,0.354,0.107,0.172,0.191,0.194,0.135,0.133,0.134,0.139,0.132,0.106,Govardhan
